,0,1,2,3,4
0,瑞丰光电：受益open cell 业绩拐点显现,群益证券,陈奇,买入,2012-07-12
1,当升科技：拐点确立重归增长 股权激励保障业绩,方正证券,王辉,增持,2012-07-12
2,中国水电：上半年订单同比增长82%,中银国际,李攀,买入,2012-07-12
3,人人乐：短期业绩难如人意 雨过天晴尚未可期,光大证券,唐佳睿,卖出,2012-07-12
4,省广股份：品牌管理发展加速 收购整合力度加强,广发证券,赵宇杰,买入,2012-07-12
5,海信电器：公司投资价值不改,湘财证券,刘飞烨,买入,2012-07-12
6,中海达：GNSS测绘产品保持稳定增长 海洋产品快速增长成为亮点,中信建投,戴春荣,增持,2012-07-12
7,宋城股份：中期业绩同比增长20%-25% 基本符合预期,银河证券,杨欢 许耀文 ,推荐,2012-07-12
8,大有能源：集团承诺彰显整体上市决心 义煤实力确保公司增长后劲,中投证券,张镭,强烈推荐,2012-07-12
9,铁汉生态：项目进展顺利 业绩稳健增长,湘财证券,苏多永,增持,2012-07-12
10,华远地产：未来三年进入结算高峰期,新时代证券,裴明华,增持,2012-07-12
11,安洁科技：上半年超预期 下半年有保障,国信证券,方焱,推荐,2012-07-12
12,阳光电源：逆变器价格下降拉低毛利 期待下半年产能释放,湘财证券,朱程辉,买入,2012-07-12
13,和顺电气：2012年中报预增点评,湘财证券,朱程辉,增持,2012-07-12
14,信立泰：受益于支付方式改革 进口替代提速,瑞银证券,季序我,买入,2012-07-12
15,瑞普生物：业绩符合预期 下半年业绩增速将环比提升,齐鲁证券,谢刚 张俊宇 ,推荐,2012-07-12
16,东富龙：业绩平稳增长 下半年有望提速,长江证券,邹朋  刘舒畅 ,推荐,2012-07-12
17,苏州固锝：开始进入全球前十大大厂 银浆国产化预期强烈,日信证券,曾维强,增持,2012-07-12
18,中能电气：预告上半年业绩同比下滑10%-20% 优势产品增速显著值得关注,中银国际,刘波,买入,2012-07-12
19,山大华特：未来正在育儿浪潮中激情绽放,齐鲁证券,胡德军,推荐,2012-07-12
20,方大特钢：吨钢净利行业居首 强化矿业追求稳进,民生证券,腾越,强烈推荐,2012-07-12
21,凤凰传媒：各项业务稳步开展 公司基本面良好,中投证券,冷星星,强烈推荐,2012-07-12
22,南方泵业：积极调整产品结构与拓展应用领域 上半年业绩稳健增长,方正证券,张远德,买入,2012-07-12
23,盛达矿业：产量增长保障盈利 集团注入值得期待,广发证券,肖征,买入,2012-07-12
24,舒泰神：股权激励明确未来预期,国联证券,周静,推荐,2012-07-12
25,芭田股份：渠道改善与新增产能驱动高速增长 贵州项目稳步推进,国海证券,代鹏举,增持,2012-07-12
26,东方航空：经营提升显著 旺季弹性带来行情,国金证券,黄金香,买入,2012-07-12
27,中原特钢：2季度亏损 中游加工制造持续低迷,长江证券,刘元瑞,谨慎推荐,2012-07-12
28,晶源电子：进入特种集成电路 打开新的市场空间,国海证券,钱文礼,买入,2012-07-12
29,中国国旅：在最近强劲表现之后移出强力买入名单 维持买入评级,高华证券,廖绪发,买入,2012-07-12
30,盾安环境：工业余热项目又见城外城,西南证券,李辉,买入,2012-07-12
31,三爱富：基本面见底 但估值偏高,东莞证券,李隆海,中性,2012-07-12
32,哈飞股份：重大资产重组草案点评,广发证券,真怡,买入,2012-07-12
33,永高股份：成本下滑推动公司业绩高增长,银河证券,洪亮,推荐,2012-07-12
34,恩华药业：潜力领域龙头 或将重现恒瑞的成功,瑞银证券,季序我,买入,2012-07-12
35,翰宇药业：渡过底部区域就是上升空间 长期看好,中投证券,周锐,推荐,2012-07-12
36,南方航空：剔除汇兑损益上半年利润降幅或将好于1季度 暑期旺季业绩值得期待,瑞银证券,陈欣,中性,2012-07-11
37,兰花科创：得益大宁量增 尿素价增 2季度净利润环比增加14%,广发证券,沈涛,买入,2012-07-11
