,0,1,2,3,4
0,农药化肥：关税调整对化肥市场影响有限,光大证券,张力扬,无,2010-11-30
1,建材：上海杭州提价利好,渤海证券,马静如,买入,2010-11-30
2,交通运输：长期动力与短期风险,国金证券,黄金香,增持,2010-11-30
3,医疗保健：精选个股 医药板块处处都有爱的影踪,渤海证券,闫亚磊,无,2010-11-30
4,公用事业：2011年度策略会王朝成发言纪要 瓶颈分化高估,平安证券,文 献 ,买入,2010-11-30
5,地产：政策面相对平静 市场成交涨跌互现,渤海证券,陈慧 易华强 ,买入,2010-11-30
6,地产：一线城市带动量价温和上涨,中银国际,田世欣,中性,2010-11-30
7,建材：行业数据向好 盈利水平提升,银河证券,洪亮,谨慎推荐,2010-11-30
8,公用事业：紧紧围绕节能降耗这个中心抓龙头抓技术突破,广发证券,张小东,买入,2010-11-30
9,医疗保健：制药生物科技与生命科学 发改委降低单独定价药品点评,国元证券,刘斌,中性,2010-11-30
10,地产：楼市继续低位徘徊 板块估值仍然便宜,山西证券,平海庆,中性,2010-11-30
11,金融：基本面趋于改善 机会主要来自阶段性低估和市场风格转换,国都证券,邓婷,中性,2010-11-30
12,交通运输：油运旺季不旺 干散货上下两难 推荐大连国际,湘财证券,刘正 刘江渝 ,增持,2010-11-30
13,交通运输：寻找提价的轨迹,国金证券,黄金香,增持,2010-11-30
14,钢铁：供应量稳中有降 库存回归,渤海证券,任宪功 刘勇 ,买入,2010-11-30
15,化工：涤纶己二酸棉花天胶价格周下跌超过6%,太平洋证券,姚鑫,无,2010-11-30
16,地产：均价震荡区间有上行趋势,国信证券,方焱 区瑞明 ,谨慎推荐,2010-11-30
17,日常消费品：农业行业点评1130,大通证券,张喜,增持,2010-11-30
18,煤炭石油：低估值 投资价值渐显,中银国际,唐倩 刘志成 ,无,2010-11-30
19,地产：可售增加 销售提升,第一创业,陈晓波,中性,2010-11-30
20,建材：华东五省再次大幅上涨 关注受益水泥股,山西证券,赵红,无,2010-11-30
21,医疗保健：利好国内仿制药和品牌中药企业,东北证券,周思立,优于大势,2010-11-30
22,煤炭石油：煤炭中转地价格回落,大通证券,陈文倩,无,2010-11-30
23,交通运输：旺季原油需求增长明显 油运运价企稳上涨值得关注,山西证券,孟令茹,无,2010-11-30
24,家用电器：家电十二五规划 下一站家电强国,光大证券,赵磊,增持,2010-11-30
25,电力：价格仍是主要风险,中银国际,姚圣,中性,2010-11-30
26,信息科技：物联网产业链还未形成期待成熟商业模式,大通证券,程思琦,增持,2010-11-30
27,钢铁：供给吃紧和流动性充裕保持不变 继续推荐矿石股 继续推荐金岭矿业创兴置业和新兴铸管,光大证券,胡皓,增持,2010-11-29
28,服装纺织：纺织服装行业2011年投资策略,广发证券,李燕华,买入,2010-11-29
29,公用事业：2010 固废产业战略论坛 固废处理行业进入快速发展期,东海证券,吴文钊,推荐,2010-11-29
30,有色金属：低位震荡短期仍将持续,东海证券,--,无,2010-11-29
31,地产：连续两周成交反弹 继续减仓,光大证券,万知,中性,2010-11-29
32,金融：第三批融资融券试点正式推出 各地佣金率管理细则陆续出台,渤海证券,陈慧 陈韶秀 ,买入,2010-11-29
33,金融：受益于加息周期+安全边际,国信证券,邵子钦 童成墩 ,推荐,2010-11-29
34,日常消费品：在资源约束下 寻求消费升级的方向,中原证券,李俊 刘锋 ,无,2010-11-29
35,钢铁：钢价艰难爬升 盈利回升任重道远,东莞证券,刘卓平,中性,2010-11-29
36,化工：紧缩政策令化工产品价格继续下跌,第一创业,巨国贤,无,2010-11-29
37,日常消费品：资源稀缺 价格上升 产业升级,莫尼塔,陈殷 马冬凡 ,中性,2010-11-29
38,建材：中国建材行业-《中国水资源综合规划》获批,瑞银证券,密叶舟 朱俊妍 ,无,2010-11-29
39,煤炭石油：行业研究参考20101129_,银河证券,陈亮 林红垒 ,无,2010-11-29
40,公用事业：火 电企业的运营环境依然艰难,瑞银证券,"欧立文 鲍广恩, ",无,2010-11-29
41,金融：2011年量化投资策略-明年轻指数重个股 估值类因子仍将发挥重要作用,广发证券,罗军  胡海涛 ,无,2010-11-29
42,煤炭石油：沿海运价止跌回稳 国内煤价稳中有升,长江证券,刘元瑞,看好,2010-11-29
43,金融：估值下降空间有限 短期具相对收益机会,国信证券,邱志承 黄飙 ,无,2010-11-29
44,有色金属：短期仍需整固,中银国际,乐宇坤,无,2010-11-29
45,建材：建材行业专题投资策略-接通新能源地气 夯实玻璃业估值,银河证券,--,谨慎推荐,2010-11-29
46,机械制造：跳出注入看军工 大周期或进快车道,宏源证券,--,增持,2010-11-29
47,有色金属：有色金属行业信息周报,联合证券,叶洮,增持,2010-11-29
48,建材：顺应局势 把握结构性机会,广发证券,黄立图,买入,2010-11-29
49,日常消费品：从成长性角度寻找结构性投资机会,广发证券,熊峰,持有,2010-11-29
50,汽车：把握大方向 挖掘确定性机会,渤海证券,齐艳莉,无,2010-11-29
51,日常消费品：农业行业点评1129,大通证券,张喜,增持,2010-11-29
52,交通运输：煤炭运输带动散货市场运价反弹,长江证券,吴云英,中性,2010-11-29
53,日常消费品：农产品价格估值中枢上移 政策给力＋业绩提气！,渤海证券,闫亚磊,买入,2010-11-29
54,汽车：12 月份汽车行业调研报告,莫尼塔,--,无,2010-11-29
55,家用电器：静待3D电视走入中国家庭,银河证券,朱力军,谨慎推荐,2010-11-29
56,化工：原油价格企稳振荡 高耗能产品价格回调,国信证券,严蓓娜 张栋梁 ,谨慎推荐,2010-11-29
57,交通运输：干散货触底回升 集装箱继续下行,上海证券,冀丽俊,无,2010-11-29
58,机械制造：轮动 平静背后的暗涌,渤海证券,任宪功 王雪莹 ,买入,2010-11-29
59,有色金属：金融属性强弱决定价格走势 黄金和铜是最优选择,广发证券,肖征,持有,2010-11-29
60,交通运输：周期平淡与事件催化,广发证券,杨志清,持有,2010-11-29
61,金融：加息暖风吹散渠道阴霾,国海证券,黄秋菡,强于大市,2010-11-29
62,金融：受益于加息周期+安全边际,国信证券,邵子钦 童成墩 ,推荐,2010-11-29
63,有色金属：11月26日一周基本金属收跌,大通证券,赵彦辉,中性,2010-11-29
64,地产：连续两周成交反弹 继续减仓,光大证券,万知,中性,2010-11-29
65,有色金属：低位震荡短期仍将持续,东海证券,--,无,2010-11-29
66,服装纺织：纺织服装行业2011年投资策略,广发证券,李燕华,买入,2010-11-29
67,钢铁：供给吃紧和流动性充裕保持不变 继续推荐矿石股 继续推荐金岭矿业创兴置业和新兴铸管,光大证券,胡皓,增持,2010-11-29
68,公用事业：2010 固废产业战略论坛 固废处理行业进入快速发展期,东海证券,吴文钊,推荐,2010-11-29
69,半导体、电子设备：把握战略性新兴产业 布局十二五规划热点,广发证券,惠毓伦,持有,2010-11-29
70,商业零售：零售周报（11.22-11.27）,渤海证券,陈慧,买入,2010-11-29
71,化工：化工产品价格波动 选择个股自下而上,光大证券,程 磊 张力扬 ,增持,2010-11-29
72,地产：一二手房成交量连续两周回升,广发证券,赵强  沈爱卿  徐军平 ,持有,2010-11-29
73,钢铁：去库存化仍在进行中,东吴证券,李寅康,增持,2010-11-29
74,造纸印刷包装：纸种毛利率跟踪,国信证券,李世新,无,2010-11-29
75,地产：11 月第四周 交易量上升 但不足以抑制库存水平,高华证券,王逸 孙贤兵 ,无,2010-11-29
76,钢铁：长材价格反弹幅度较大,广发证券,冯刚勇   马 涛 ,持有,2010-11-29
77,媒体：乐视网一马当先 传统媒体紧随其后,国联证券,何冰冰,无,2010-11-29
78,钢铁：钢价将继续维持窄幅震荡格局,山西证券,刘俊清,中性,2010-11-29
79,交通运输：TSA释放提价信号 集运市场前景乐观,银河证券,张秋生,谨慎推荐,2010-11-29
80,有色金属：投资需求大增推动银价走强,安信证券,衡昆 章小韩 ,同步大市,2010-11-29
81,钢铁：长材价格上涨 库存继续下降,中银国际,乐宇坤,无,2010-11-29
82,金融：绝对价值上的守望,中原证券,南汉馨,同步大市,2010-11-29
83,有色金属：基本金属近期恐继续震荡 关注国家级新材料目录,日信证券,汪华春,无,2010-11-29
84,医疗保健：政策+题材 医药反守为攻,国联证券,周静,优异,2010-11-29
85,地产：成交量结构性分化 价格波动明显,西南证券,肖剑,弱于大市,2010-11-29
86,钢铁：钢价艰难爬升 盈利回升任重道远,东莞证券,刘卓平,中性,2010-11-29
87,金融：受益于加息周期+安全边际,国信证券,邵子钦 童成墩 ,推荐,2010-11-29
88,信息科技：通信行业周报,渤海证券,崔健,买入,2010-11-29
89,交通运输：航空综合需求指数全线下跌 差距略微收窄,广发证券,杨志清,买入,2010-11-29
90,医疗保健：政策题材正成为近期热点,东海证券,袁舰波 屈�i ,中性,2010-11-29
91,金融：把握紧缩预期弱化后的估值修复机会,长江证券,陈志华 许荣聪 ,无,2010-11-29
92,化工：涤棉价格继续回落 大部分化工产品处观望期,湘财证券,田蓓 王强 ,无,2010-11-29
93,电力：电价上调再遇政策阻力,银河证券,邹序元 张迪 ,中性,2010-11-29
94,金融：2011 基本面持续回暖 前景更乐观,莫尼塔,程萍,无,2010-11-29
95,有色金属：有色金属行业深度报告-白银偏金融属性 将与黄金同步进入十年牛市,民生证券,黄玉 滕越 ,中性,2010-11-29
96,地产：价量变动不大 短期僵局难破,长城证券,刘 昆 ,中性,2010-11-29
97,公用事业：关注节能板块 静待新兴能源产业振兴规划,渤海证券,陈慧 江艳 ,买入,2010-11-29
98,医疗保健：行业持续景气 企业迎来机遇,民生证券,练乐尧,推荐,2010-11-29
99,煤炭石油：中转地价格小幅回调广州港库存连续5周增加,渤海证券,任宪功,买入,2010-11-29
100,交通运输：静待行业景气拐点,国金证券,黄金香,持有,2010-11-28
101,半导体、电子设备：电子行业周报,渤海证券,崔健,无,2010-11-28
102,日常消费品：旺季将至 提价预期强 白酒大幅上涨,渤海证券,闫亚磊,无,2010-11-28
103,机械制造：寻找千里马,国金证券,董亚光,增持,2010-11-28
104,煤炭石油：煤炭行业基本仍有超预期可能 但还需观察,广发证券,陈亮 林红垒 ,买入,2010-11-28
105,旅游酒店：区域高增长 盈利高弹性,广发证券,周户,买入,2010-11-28
106,交通运输：机场航空业周报（11.22-11.28）,渤海证券,齐艳莉,无,2010-11-28
107,电气设备：挺起中国光伏产业的脊梁,光大证券,王海生 袁 瑶 ,买入,2010-11-28
108,交通运输：国内油价存在上涨压力,长江证券,吴云英,看好,2010-11-28
109,化工：机遇大于挑战 行业将不乏亮点 节能十二五精细化工,广发证券,吕丙风,买入,2010-11-28
110,公用事业：朝阳行业 黄金十年,光大证券,崔玉芹,买入,2010-11-28
111,汽车：进入年底博弈期 逢低关注两江组合,东吴证券,李寅康,无,2010-11-28
112,交通运输：煤炭运价止跌回升 成品油运价延续走高,光大证券,丁贤达 陈欣 ,增持,2010-11-28
113,地产：供给力度加大 成交环比上升,长江证券,苏雪晶,看好,2010-11-28
